Feature ID	Taxon	Confidence
006f38505f52b9506a48c2fe805d9342	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae	0.9591938942064498
2684b1559c2cf365982cf2a3062672e5	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__SMB53; s__	0.9999867883933201
3da5e09cdf9b230187350677e18fcb3d	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Caloramator; s__	0.7768807030136934
d9991729edc0d8bd3e444aa0a9d2f1e7	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__butyricum	0.8405305637744923
a3334bbf99ef3c1cdb1cc73df6a28b38	k__Bacteria; p__Firmicutes; c__Clostridia	0.797645462992574
6a95ef59616fd59dd61ee9906e018515	k__Bacteria	0.999300177565182
7693ef07e129a320a0d39067c0a244fb	k__Bacteria; p__Firmicutes	0.7124265582011827
cc3368dce84c07a4b2ff73594b2e59d7	k__Bacteria	0.9875362017895358
22d0596344ed48163507b29ea08887e4	k__Bacteria; p__Firmicutes; c__Clostridia	0.7624246633006889
ca548ffddbe5fc7e3583cfcb423717aa	k__Bacteria	0.9990855945956089
a24dbcbb6eab494c6fc2cabd16746320	k__Bacteria; p__Synergistetes; c__Synergistia; o__Synergistales; f__Synergistaceae; g__vadinCA02; s__	0.9999775811504051
37ce03f49902df1b6fba8df12bb9394b	k__Bacteria	0.9992816347428746
dbf586f955ecd1974922115013959e82	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae	0.9928145959838088
54a8904e4d122749ab88d8ffbae6bb6f	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae	0.9635129729187581
3db6726c6324cebe37e45d6d8b5a9d4d	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__durum	0.807622543020206
e342ac4782193ad21a12aa226137e37a	k__Bacteria	0.9998911321636754
89e77e0c6d95ee2cae68a39dd1602c8e	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales	0.843743230866108
b4220e4702b0f85833e49bd191414cc3	k__Bacteria	0.9966475588674419
851d9c067abe9d02d7f76954794231c4	k__Bacteria; p__Chloroflexi	0.7049404525981315
340f68b0e695e3b3d33adeaec490d16b	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	0.7683506379488191
3bea3fee61f9c890772acad9a7053a40	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Eubacteriaceae; g__Pseudoramibacter_Eubacterium; s__	0.9967953790203502
2e597bc168dffb619dba7926df1548df	k__Bacteria; p__Firmicutes; c__Clostridia; o__SHA-98; f__D2; g__; s__	0.9972629024302624
b446723c400c981f9e9daf6af985a9eb	k__Bacteria	0.9994392026502584
230f041f32816b4469f9ade06dc567b1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Epulopiscium; s__	0.7324485498549959
40bf55784de7984fe1f883af2f2f7309	k__Archaea; p__Euryarchaeota; c__Methanomicrobia; o__Methanosarcinales; f__Methanosaetaceae; g__Methanosaeta; s__	0.8997838340939566
21d189818aa718570913a2cf07f17a2b	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae	0.9108980029880686
867da76fb0c6e5975714caedc46e4847	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Eubacteriaceae; g__Pseudoramibacter_Eubacterium; s__	0.9954449185055303
bbc6cbc02670cb77cd8cd48b67350a40	k__Bacteria	0.9989825786332304
be30009a164507ecb2c892a473f45829	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae	0.9170662871145562
647662510cdd535aac784ca5d5887db5	k__Bacteria	0.9989379999596784
0f39644b9e047bf9dd72d2970a1ba5cb	k__Bacteria	0.9971058661837376
a00c3bdd594cbc1657df2beadffa0632	k__Bacteria	0.996400732921705
6bc9a36db3a4e92e41fcd6516f8c5043	k__Bacteria; p__Firmicutes; c__Clostridia; o__SHA-98; f__D2; g__; s__	0.992443733994168
189aa06bc1ce95638191c50033df0d1e	k__Bacteria; p__Chloroflexi; c__Anaerolineae	0.8187932084533753
